,core,ligands
AZESED,Pt,ligand0-0 ligand5539-0
LOYXUV,Au,ligand0-0 ligand0-0 ligand7586-0
SAHDUE,Mn,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand22596-0
BAZTOM,Pt,ligand6-0 ligand6-0 ligand36545-0 ligand36545-0
JIKFOC,Cu,ligand0-0 ligand880-0
KURWEA,Au,ligand514-0 ligand11777-0
ECONUJ,Au,ligand20-0 ligand38259-0
NECKOY,Ni,ligand14895-0 ligand14895-0
IBAZAQ,Ru,ligand1714-0 ligand4091-0 ligand4091-0
BENMAM,Ni,ligand11-0 ligand11-0 ligand23367-0
AMIBAB,Co,ligand237-0 ligand8493-0 ligand8493-0
TUYGAX,Zn,ligand42-0 ligand14012-0
YEJKIJ,Ni,ligand0-0 ligand0-0 ligand282-0
IXEHEZ,Au,ligand0-0 ligand21090-0
HETQED,Fe,ligand11-0 ligand11-0 ligand22-0 ligand27569-0
HIKFEO,Rh,ligand0-0 ligand61-0 ligand18643-0
WUBNEM,W,ligand0-0 ligand0-0 ligand55-0 ligand3246-0
VUZPUE,Pd,ligand20-0 ligand20-0 ligand91-0 ligand37641-0
OFEYEE,Rh,ligand191-0 ligand9677-0
DICQIT,Au,ligand0-0 ligand31574-0
ZOBMOS,Mo,ligand0-0 ligand0-0 ligand91-0 ligand91-0 ligand764-0 ligand764-0
SOWBEM,Pt,ligand0-0 ligand7295-0 ligand10265-0
OBODUG,V,ligand55-0 ligand221-0 ligand5595-0
TIZRIE,Cu,ligand12-0 ligand28-0 ligand28-0 ligand30076-0
EVUBOM,Ni,ligand36-0 ligand91-0 ligand34361-0
NESHUP,Pd,ligand0-0 ligand0-0 ligand3005-0
ZULJOI,Ni,ligand8463-0
RODFEV,Ni,ligand28-0 ligand20445-0
ZALRIN,Ni,ligand29-0 ligand36-0 ligand36-0
BIJMEO,Ni,ligand12015-0 ligand12015-0
TARWIT,Zn,ligand29-0 ligand16560-0 ligand16560-0
KEFHEI,Ir,ligand0-0 ligand0-0 ligand61-0 ligand32424-0
HETMUO,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand31936-0
EJESET,Pd,ligand971-0 ligand8264-0
FEXDEU,Zn,ligand8834-0 ligand8834-0
IVUMUJ,Fe,ligand11-0 ligand11-0 ligand22-0 ligand19368-0
FUYWUT,Pt,ligand20-0 ligand36-0 ligand36-0 ligand3406-0
QEQHUQ,Zn,ligand14576-0 ligand14576-0
VIMDAW,W,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand107-0 ligand1654-0
AKUBOA,Pd,ligand10456-0 ligand10456-0
WADKIY,Ni,ligand23940-0
NOSHEI,Fe,ligand0-0 ligand1730-0
KEKTID,Pt,ligand0-0 ligand0-0 ligand7714-0
YOTFOD,Zn,ligand47-0 ligand47-0 ligand5411-0 ligand5411-0
TFBZNP,Zn,ligand558-0 ligand558-0 ligand5644-0 ligand5644-0
PUSWOS,Au,ligand0-0 ligand2531-0
XIQKUF,Au,ligand1145-0 ligand8150-0
LUTFEN,Fe,ligand11-0 ligand11-0 ligand11-0 ligand2015-0 ligand8319-0
KETHAV,Y,ligand1104-0 ligand1104-0 ligand14866-0
METSIO,Pt,ligand0-0 ligand0-0 ligand8981-0
MOHQEH,Ni,ligand10515-0 ligand10515-0
YOKTIE,Re,ligand55-0 ligand35617-0 ligand35618-0
JOCBAE,Au,ligand0-0 ligand6134-0
YABLIW,Ni,ligand115-0 ligand115-0 ligand21620-0
LIFHAJ,Zn,ligand0-0 ligand6239-0
BOCMOZ,Ru,ligand0-0 ligand24-0 ligand472-0 ligand31500-0
WUCMEP,Zn,ligand20-0 ligand20-0 ligand23299-0
NILSAD,Ti,ligand0-0 ligand0-0 ligand31223-0 ligand31223-0
YARHUX,Fe,ligand4-0 ligand991-0
JEGLAM,Ru,ligand0-0 ligand0-0 ligand11-0 ligand11-0 ligand6695-0 ligand6695-0
ULAVUY,Zn,ligand90-0 ligand90-0 ligand19491-0
VIRXIE,Pt,ligand16157-0 ligand16157-0
OFIFIU,Fe,ligand362-0 ligand362-0 ligand3088-0 ligand3088-0 ligand3088-0 ligand3088-0
UCUZIB,Zn,ligand37552-0 ligand37552-0
SEJTIM,Pd,ligand0-0 ligand0-0 ligand18132-0
REJFUJ,Rh,ligand0-0 ligand0-0 ligand91-0 ligand16424-0
UHAGOC,Co,ligand61-0 ligand107-0 ligand4813-0
QEBPEV,Cd,ligand245-0 ligand16855-0 ligand16855-0
MICYAZ,Pd,ligand251-0 ligand13628-0
YAVFEI,Pt,ligand0-0 ligand0-0 ligand4147-0 ligand4147-0
SEWNAK,Pd,ligand0-0 ligand0-0 ligand5148-0
CURFAY,Ti,ligand0-0 ligand0-0 ligand0-0 ligand3142-0
LUBJID,Ir,ligand0-0 ligand11-0 ligand11-0 ligand21315-0
KAQCIR,Zn,ligand0-0 ligand0-0 ligand0-0 ligand1899-0
MUBXUC,Ti,ligand36-0 ligand36-0 ligand21490-0
QAPMOL,Pt,ligand1855-0 ligand1890-0
HAYWAJ,Ru,ligand11-0 ligand20-0 ligand28-0 ligand1518-0
DAJWIX,Tc,ligand55-0 ligand21963-0
IPIQIJ,V,ligand55-0 ligand36525-0
WEPREQ,Ti,ligand0-0 ligand0-0 ligand68-0 ligand7623-0
VULGOB,Fe,ligand362-0 ligand362-0 ligand362-0 ligand32593-0
XOQBUB,Pd,ligand0-0 ligand0-0 ligand32187-0 ligand32187-0
HIMREA,Fe,ligand11-0 ligand11-0 ligand11-0 ligand29839-0
EDAYEP,Zn,ligand8560-0 ligand8561-0
FEJSAP,Re,ligand11-0 ligand11-0 ligand11-0 ligand29-0 ligand1952-0
KOCNUM,Ni,ligand115-0 ligand115-0 ligand688-0
RIPBOJ,Mo,ligand42-0 ligand55-0 ligand55-0 ligand16949-0
YAGDEQ,Zn,ligand0-0 ligand0-0 ligand4792-0 ligand4792-0
EGAQAF,Rh,ligand191-0 ligand13501-0
JOPJUV,Pd,ligand2027-0
WEHWAK,Y,ligand8-0 ligand8-0 ligand90-0 ligand90-0 ligand4498-0
KUPQEU,Fe,ligand8-0 ligand8-0 ligand34671-0 ligand34671-0
ONAJAQ,Ta,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand777-0
QAWCAV,Au,ligand338-0 ligand681-0
JINGIX,Au,ligand777-0 ligand2840-0
DACYEO,Ag,ligand1899-0 ligand1899-0
MUWCEP,Pd,ligand91-0 ligand91-0 ligand29996-0
ASIMUN,Mo,ligand11-0 ligand11-0 ligand61-0 ligand73-0 ligand75-0
DOSWEN,Mo,ligand42-0 ligand55-0 ligand55-0 ligand20105-0
TAMBIS,W,ligand6-0 ligand6-0 ligand3027-0 ligand3027-0 ligand8592-0
QUGFUW,Pt,ligand0-0 ligand571-0 ligand34573-0
EZAFUH,Ru,ligand0-0 ligand456-0 ligand571-0 ligand571-0 ligand571-0
PAGBAD,Zn,ligand0-0 ligand0-0 ligand107-0 ligand288-0
WIMJOS,Re,ligand11-0 ligand11-0 ligand11-0 ligand91-0 ligand7652-0
LUPMIU,Pt,ligand325-0 ligand325-0 ligand25333-0 ligand25333-0
KACDIC,Zr,ligand0-0 ligand0-0 ligand13495-0
UTELOX,Pd,ligand0-0 ligand0-0 ligand12336-0 ligand12336-0
HIPVEH,Ag,ligand28-0 ligand28-0 ligand1779-0
TEQQOW,Ag,ligand266-0 ligand1002-0
XAMXIU,Rh,ligand173-0 ligand173-0
BUWPEP,Pd,ligand107-0 ligand5190-0 ligand26447-0
NIVGEG,Fe,ligand11-0 ligand22-0 ligand32068-0
KOSSET,Re,ligand16-0 ligand55-0 ligand16842-0 ligand16842-0
ABIQIN,Re,ligand55-0 ligand115-0 ligand1260-0
JUKHOO,Zr,ligand0-0 ligand68-0 ligand68-0 ligand21312-0
HUNPOY,Pd,ligand0-0 ligand0-0 ligand7729-0
MIYZEC,Au,ligand0-0 ligand0-0 ligand0-0 ligand32251-0
SUBRAI,Ru,ligand0-0 ligand29-0 ligand29-0 ligand33528-0
OCUPIP,Ir,ligand0-0 ligand61-0 ligand5167-0
WICDAR,Ir,ligand0-0 ligand61-0 ligand9763-0
FENZUX,Pt,ligand0-0 ligand424-0 ligand424-0 ligand3899-0
UJOZIE,Re,ligand8-0 ligand11-0 ligand11-0 ligand11-0 ligand8623-0
LILMAX,Au,ligand0-0 ligand234-0 ligand514-0 ligand6397-0
PIMVAL,Au,ligand0-0 ligand0-0 ligand0-0 ligand1600-0
IYAHAS,Pd,ligand0-0 ligand0-0 ligand35626-0
DAJRUE,Au,ligand36-0 ligand124-0 ligand12234-0
DASSUL,Cd,ligand481-0 ligand481-0 ligand481-0
VADREX,Ti,ligand0-0 ligand0-0 ligand1512-0 ligand1512-0
GADNOP,Pd,ligand657-0 ligand657-0
IPITUW,Co,ligand151-0 ligand151-0 ligand2433-0
YORGUK,Ru,ligand61-0 ligand29341-0
IFUZAO,Ta,ligand61-0 ligand957-0 ligand17884-0
SUXVAI,Co,ligand5113-0 ligand5113-0
OWEWEU,Ti,ligand0-0 ligand827-0 ligand3131-1
SOZNOK,V,ligand0-0 ligand0-0 ligand90-0 ligand107-0 ligand107-0
XEDLOI,Zr,ligand0-0 ligand0-0 ligand1385-0 ligand3083-0
ZOJYOO,Ru,ligand0-0 ligand24-0 ligand28-0 ligand12672-0
NOVPOD,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand32499-0
QELPED,Zn,ligand24630-0 ligand24630-0
YOKMES,Ni,ligand23801-0 ligand23801-0
GIXFEY,Au,ligand28-0 ligand11485-0
NITHON,Rh,ligand0-0 ligand6-0 ligand61-0 ligand8841-0
YEFJOJ,Fe,ligand11-0 ligand11-0 ligand11-0 ligand213-0
RITRUK,Ti,ligand0-0 ligand0-0 ligand61-0 ligand20239-0
JAZRIP,Co,ligand12-0 ligand61-0 ligand4709-0
POTNEU,Zr,ligand22-0 ligand22-0 ligand15169-0
KUJRAL,Co,ligand293-0 ligand1220-0 ligand1220-0 ligand7655-0
GONTIM,Mn,ligand0-0 ligand11-0 ligand11-0 ligand11-0 ligand14674-0
OPIQUA,Au,ligand353-0 ligand659-0
GOLKEX,Co,ligand1012-0 ligand1030-0
VUDZEC,Y,ligand0-0 ligand0-0 ligand411-0 ligand11862-0
UTITEY,Fe,ligand240-0 ligand864-0 ligand3450-0
SUXHIF,Pd,ligand0-0 ligand0-0 ligand6231-0
PEVJOT,Re,ligand11-0 ligand11-0 ligand11-0 ligand90-0 ligand1899-0
BIGQIU,Au,ligand10076-0 ligand25194-0
OTEFOJ,Pd,ligand0-0 ligand0-0 ligand3341-0
KILXEM,Pd,ligand0-0 ligand14943-0
ROWRAY,Ir,ligand0-0 ligand11-0 ligand52-0 ligand12026-0
DUHGAO,Y,ligand61-0 ligand61-0 ligand1519-0
FERHOZ,Nb,ligand17-0 ligand22-0 ligand22-0 ligand2015-0
LARSOP,Zn,ligand11110-0 ligand11110-0
OQEPIK,Au,ligand777-0 ligand3255-0
CUBGAJ,Pt,ligand0-0 ligand0-0 ligand33742-0
RUGCAX,Ti,ligand61-0 ligand61-0 ligand1890-0
JONNIJ,W,ligand124-0 ligand124-0 ligand124-0 ligand124-0 ligand124-0 ligand23919-0
ZALBOD,La,ligand266-0 ligand266-0 ligand19576-0 ligand19576-0
HUYDUB,Fe,ligand277-0 ligand5735-0 ligand34975-0
DEJTOD,Rh,ligand2356-0 ligand17182-0
YIDNOS,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand2749-0
NIBMIX,Au,ligand344-0 ligand6558-0
FIQMUR,W,ligand9780-0 ligand9780-0 ligand9780-0
EGAJUU,Pt,ligand36-0 ligand36-0 ligand777-0 ligand888-0
FUTWID,Mo,ligand6-0 ligand52-0 ligand52-0 ligand52-0 ligand52-0 ligand52-0 ligand1104-0
GEVDEQ,Fe,ligand344-0 ligand399-0 ligand400-0
OLUMOY,Ti,ligand0-0 ligand0-0 ligand384-0 ligand11351-0
DUGMIC,Re,ligand11-0 ligand11-0 ligand11-0 ligand37515-0
AXIXEK,Re,ligand11-0 ligand11-0 ligand11-0 ligand27160-0
MERPIM,Fe,ligand473-0 ligand473-0 ligand2882-0
REJTIL,Pd,ligand0-0 ligand0-0 ligand4629-0 ligand4629-0
UGODAW,Ni,ligand0-0 ligand10-0 ligand151-0
NIPMOO,Ni,ligand15971-0 ligand15972-0
WABQEZ,Mn,ligand11-0 ligand173-0 ligand173-0 ligand1496-0
ZAZWOO,Pd,ligand0-0 ligand0-0 ligand7114-0 ligand7114-0
HILFEP,Ta,ligand0-0 ligand0-0 ligand220-0 ligand221-0 ligand221-0
GUKKAA,Ni,ligand2562-0 ligand10757-0
DIYBIX,Pd,ligand8420-0 ligand18208-0
EQOTAF,Au,ligand0-0 ligand10532-0
QUFNEM,Pd,ligand36-0 ligand136-0 ligand7825-0
MUBCAP,Ir,ligand0-0 ligand191-0 ligand17016-0
BEKPUC,Zn,ligand3901-0 ligand3901-0 ligand5452-0 ligand5452-0
BICDOH,Fe,ligand6-0 ligand6-0 ligand11-0 ligand11-0 ligand12-0 ligand472-0
HISMOP,Rh,ligand191-0 ligand2180-0
TESGII,Ir,ligand20-0 ligand191-0 ligand20470-0
WUDDOR,Ir,ligand274-0 ligand274-0 ligand3741-0
OGIDIS,Mo,ligand11-0 ligand22-0 ligand659-0 ligand2393-0
CIGCUS,Hf,ligand0-0 ligand735-0 ligand735-0 ligand16161-0
CIVJEZ,Pd,ligand20-0 ligand20-0 ligand20-0 ligand571-0
FULPUZ,V,ligand55-0 ligand55-0 ligand79-0
SAFVIF,Mo,ligand55-0 ligand56-0 ligand56-0 ligand3803-0 ligand3803-0
ICEFUR,Pd,ligand12-0 ligand14-0 ligand36-0
LINLEC,Pt,ligand0-0 ligand0-0 ligand0-0 ligand4048-0
JASWUW,Sc,ligand0-0 ligand0-0 ligand0-0 ligand6495-0
COGFAH,Mn,ligand11-0 ligand11-0 ligand11-0 ligand21473-0
COSYUH,Pt,ligand47-0 ligand47-0 ligand990-0 ligand990-0 ligand1435-0 ligand1435-0
TEGZEM,Pt,ligand83-0 ligand8052-0 ligand8052-0
HIZDEA,Ru,ligand136-0 ligand136-0 ligand274-0
GOLKEY,Ru,ligand0-0 ligand0-0 ligand14355-0
MEXLEI,Zn,ligand12-0 ligand12-0 ligand21398-0 ligand21398-0
YULCOY,Au,ligand0-0 ligand9460-0
JACDIB,Cu,ligand9341-0 ligand9341-0
VIMJOR,Ir,ligand16238-0 ligand16238-0 ligand16239-0
OVERAJ,Fe,ligand60-0 ligand60-0 ligand34463-0 ligand34463-0
VOVSOQ,Mo,ligand42-0 ligand55-0 ligand55-0 ligand15345-0
IQISIL,Pd,ligand0-0 ligand0-0 ligand15048-0 ligand15048-0
XAXXOJ,Ni,ligand26580-0 ligand26580-0
QAFMUG,Pd,ligand54-0 ligand4235-0
AQECIK,Ir,ligand0-0 ligand61-0 ligand5633-0
BUVCAX,Au,ligand0-0 ligand1683-0
ANUJAX,Co,ligand8-0 ligand1189-0 ligand2179-0
GAKJIO,Rh,ligand0-0 ligand0-0 ligand91-0 ligand91-0 ligand91-0 ligand91-0
DAJYEU,Mo,ligand55-0 ligand55-0 ligand1567-0 ligand21944-0
XANTAH,Mo,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand1213-0
EPOMUS,Pd,ligand12-0 ligand353-0 ligand353-0 ligand30745-0
ZIBQUW,Ti,ligand22-0 ligand22-0 ligand21409-0
QAGBAE,Au,ligand0-0 ligand20659-0
TENDOF,Mo,ligand55-0 ligand55-0 ligand107-0 ligand107-0 ligand124-0 ligand124-0
VAQKOQ,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand3233-0
YIHVER,Cu,ligand0-0 ligand37874-0
ERUQOZ,V,ligand0-0 ligand0-0 ligand55-0 ligand28275-0
BEJDUS,Ni,ligand12-0 ligand22-0 ligand22277-0
LIYZEB,Pd,ligand0-0 ligand27291-0
WOLPIW,Mo,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand8878-0
XIPHUZ,Pt,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand5571-0 ligand5571-0
HACDAQ,Ti,ligand22-0 ligand22-0 ligand14999-0 ligand14999-0
NUGRIS,Re,ligand11-0 ligand11-0 ligand11-0 ligand21434-0
ZAFPOL,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand1778-0
UKIBEV,Zr,ligand0-0 ligand61-0 ligand1375-0 ligand26999-0
LUBJIE,Ir,ligand0-0 ligand484-0 ligand484-0 ligand29879-0
PEKGEV,Ni,ligand22828-0
TEYKAN,Rh,ligand191-0 ligand13593-0
TCBPZR,Zr,ligand29-0 ligand29-0 ligand362-0 ligand362-0 ligand362-0 ligand362-0
HIJYUX,Ru,ligand24-0 ligand47-0 ligand37483-0
EYIQAE,Pd,ligand0-0 ligand28-0 ligand169-0 ligand472-0
NEYFEE,Zn,ligand24470-0 ligand24470-0
GELGAH,Zn,ligand20-0 ligand20-0 ligand19942-0
ACUZEG,Co,ligand0-0 ligand0-0 ligand1981-0 ligand1981-0
XEKFEZ,Pd,ligand0-0 ligand0-0 ligand8435-0 ligand9242-0
VEJFAS,Rh,ligand191-0 ligand12190-0
YAJFAR,Ru,ligand90-0 ligand282-0 ligand11744-0
WUSKAZ,Pd,ligand0-0 ligand0-0 ligand17482-0 ligand17482-0
KOKZUG,Rh,ligand191-0 ligand32601-0
CAVROJ,W,ligand0-0 ligand764-0 ligand764-0 ligand4771-0
GOHPOI,Pd,ligand3035-0 ligand3035-0 ligand4911-0
ZANCIA,Ta,ligand36-0 ligand60-0 ligand61-0 ligand31039-0
EZAMEX,Fe,ligand11-0 ligand11-0 ligand22-0 ligand36340-0
AVOJOK,Ni,ligand313-0 ligand20591-0
IREZIR,Pd,ligand0-0 ligand36-0 ligand16259-0
METSIN,Ni,ligand22-0 ligand28-0 ligand14386-0
FOPBIV,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand26483-0
ZAXFOV,Pd,ligand0-0 ligand30028-0
IKIDOX,Ir,ligand0-0 ligand52-0 ligand1788-0
SIGDIV,Pd,ligand0-0 ligand191-0 ligand301-0
CIJZEC,Pd,ligand14-0 ligand103-0 ligand103-0
EHENAI,Ru,ligand0-0 ligand0-0 ligand24-0 ligand17741-0
DOFGEM,Rh,ligand6-0 ligand20-0 ligand120-0 ligand2179-0
RURHUH,Zr,ligand0-0 ligand0-0 ligand29484-0 ligand29485-0
WALQEH,Au,ligand0-0 ligand0-0 ligand40-0 ligand472-0
DETKET,Co,ligand24200-0 ligand24200-0
BOQSAC,Ti,ligand22-0 ligand22-0 ligand2347-0
USARIQ,V,ligand61-0 ligand61-0 ligand2263-0
YIYCEP,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand20022-0
JITCIY,Ni,ligand91-0 ligand32326-0
CAQROC,Ni,ligand2356-0 ligand14367-0
QATQAD,Rh,ligand11-0 ligand22-0 ligand9547-0
CAKVOC,Pd,ligand0-0 ligand0-0 ligand3506-0 ligand3506-0
LIWSOZ,Mn,ligand173-0 ligand540-0 ligand735-0
KIZDOM,Ti,ligand0-0 ligand0-0 ligand91-0 ligand91-0 ligand91-0 ligand11019-0
SEPNAC,Re,ligand36-0 ligand55-0 ligand55-0 ligand91-0 ligand4875-0
XOZSUA,Au,ligand28-0 ligand29921-0
XONBOR,Os,ligand11-0 ligand11-0 ligand11-0 ligand18727-0
CIMFUA,Pt,ligand0-0 ligand23630-0
BOHKOC,Ni,ligand990-0 ligand6888-0
KIDBIK,Rh,ligand0-0 ligand191-0 ligand23553-0
OHUPAK,Ti,ligand393-0 ligand864-0 ligand3131-0
AVOZIW,Pd,ligand28-0 ligand22639-0
LEPDUI,Co,ligand22505-0 ligand22505-0
MUDYOZ,Ru,ligand11-0 ligand22-0 ligand28-0 ligand396-0
GUTPOB,Pd,ligand0-0 ligand0-0 ligand14314-0
VIGXOZ,Ru,ligand24-0 ligand52-0 ligand12198-0
TOVZOW,Pt,ligand472-0 ligand472-0 ligand4553-0
VAWQAL,Re,ligand55-0 ligand55-0 ligand55-0 ligand5212-0
FESBEL,Pd,ligand0-0 ligand2422-0 ligand2423-0
VUGCUW,Zn,ligand112-0 ligand112-0 ligand7755-0 ligand7755-0
ZOLDEJ,Ti,ligand22-0 ligand22-0 ligand20169-0
IQEROL,Cu,ligand0-0 ligand17790-0
BABTUT,Pd,ligand0-0 ligand112-0 ligand344-0 ligand344-0
EGIBEB,Zr,ligand0-0 ligand0-0 ligand7785-0
TINDUQ,Ni,ligand35590-0 ligand35590-1
JUPZUR,Pt,ligand191-0 ligand26336-0
QALDAJ,Au,ligand0-0 ligand35142-0
IBAZAP,Ir,ligand0-0 ligand61-0 ligand6534-0 ligand6534-0
OWIQER,Ni,ligand28-0 ligand113-0 ligand113-0
EBOYOM,Cu,ligand17916-0
ZOFHOR,Zn,ligand12-0 ligand12-0 ligand920-0
KOVRAQ,Zn,ligand28203-0 ligand28203-0
JUQLOY,Ni,ligand59-0 ligand22333-0
UBUHOO,Ti,ligand0-0 ligand0-0 ligand0-0 ligand29247-0
SEDTII,Mn,ligand11-0 ligand11-0 ligand11-0 ligand20-0 ligand27377-0
PUSWOR,Zn,ligand0-0 ligand0-0 ligand27015-0
ZUZQAP,Pt,ligand0-0 ligand484-0 ligand22302-0
WOJTOE,Ru,ligand0-0 ligand0-0 ligand11-0 ligand571-0 ligand7945-0 ligand7945-0
IQEBIP,Pd,ligand2413-0 ligand7337-0
BHNCOC,Co,ligand22-0 ligand18306-0
OQEWOZ,Ni,ligand174-0 ligand2935-0
WINFEF,Zn,ligand0-0 ligand0-0 ligand27043-0
UWODUH,Y,ligand107-0 ligand1001-0 ligand1001-0 ligand7523-0
VUCFUW,V,ligand55-0 ligand5077-0 ligand31205-0
WIWGEO,Mo,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand12076-0
FAXNIC,Cu,ligand20-0 ligand1997-0 ligand1997-0
MAQTUU,Ti,ligand305-0 ligand305-0 ligand3890-0
VAPHOL,Pd,ligand28-0 ligand26324-0
YAMVEO,Pd,ligand0-0 ligand0-0 ligand15688-0 ligand15688-0
SEKWIQ,Zn,ligand112-0 ligand112-0 ligand24581-0 ligand24581-0
KUPXOI,W,ligand0-0 ligand764-0 ligand2588-0 ligand2588-0 ligand2588-0 ligand7501-0
HOGNAU,Zn,ligand0-0 ligand0-0 ligand10659-0 ligand10659-0
XIPJOV,Pt,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand16246-0 ligand16246-0
BOYKUW,Pd,ligand36-0 ligand5910-0
FIXVAL,Pt,ligand36-0 ligand36-0 ligand7443-0
YEFDAO,Co,ligand346-0 ligand7899-0
TARWIU,Ni,ligand117-0 ligand2500-0
ROBBAM,Rh,ligand0-0 ligand191-0 ligand22814-0
JUYVAA,Os,ligand55-0 ligand55-0 ligand91-0 ligand91-0 ligand591-0
EBUZIK,V,ligand55-0 ligand55-0 ligand21872-0
AZAVEE,Pt,ligand1714-0 ligand2402-0
JARVOQ,La,ligand8-0 ligand8-0 ligand8-0 ligand79-0 ligand79-0
SECJAO,Ni,ligand151-0 ligand152-0 ligand1997-0 ligand1997-0
PUMFIN,Pt,ligand0-0 ligand0-0 ligand3836-0
QOMQOZ,Fe,ligand42-0 ligand42-0 ligand117-0 ligand8157-0
WUCCIJ,Pt,ligand1014-0 ligand1014-0 ligand8170-0 ligand8170-0
ZAYBIM,Pt,ligand362-0 ligand11862-0
WUZBIC,Ag,ligand11679-0
ADUHIR,Hf,ligand61-0 ligand61-0 ligand124-0 ligand124-0
LABGUT,Cd,ligand12-0 ligand12-0 ligand8854-0 ligand8854-0
JALPIW,Pt,ligand13778-0 ligand13778-0
OVOPEV,Mn,ligand8-0 ligand390-0 ligand1567-0
LOCWEF,Zr,ligand22-0 ligand22-0 ligand864-0 ligand1272-0
WAYHOW,Cr,ligand130-0 ligand1975-0 ligand1975-0 ligand9075-0
SAZCUU,Cu,ligand948-0 ligand1519-0
ZUXWAS,Pd,ligand1594-0 ligand8037-0
KOSZOH,Cu,ligand261-0
LAYWUD,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand7029-0
ORAZIS,Au,ligand28-0 ligand28-0 ligand1083-0
FONJAT,V,ligand61-0 ligand23403-0
MOMGAW,Mo,ligand55-0 ligand55-0 ligand9809-0 ligand33620-0
ROSGEL,Co,ligand91-0 ligand91-0 ligand91-0 ligand19437-0
EKEFEH,Ni,ligand239-0 ligand34422-0
PAKZIL,Pt,ligand36-0 ligand888-0 ligand15389-0
IWUXUV,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand21006-0
MYOCFE,Fe,ligand11-0 ligand11-0 ligand11-0 ligand2024-0
INOCUK,Cd,ligand8-0 ligand8-0 ligand16959-0 ligand16959-1
ULOTOF,Rh,ligand191-0 ligand5445-0
DOTWEQ,Pt,ligand90-0 ligand3686-0
ATUMAG,Ni,ligand20-0 ligand5539-0
JUFJID,Pd,ligand0-0 ligand152-0 ligand34811-0
QESYUI,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand28-0 ligand24788-0
SILBIY,Cu,ligand20-0 ligand2626-0 ligand2626-0
MOFHIZ,Co,ligand24114-0 ligand24114-0 ligand24114-0
TUCHPL,Cu,ligand198-0 ligand198-0 ligand198-0
HIRYOW,Pt,ligand36-0 ligand36-0 ligand36-0 ligand11173-0
OLANIZ,Pd,ligand0-0 ligand89-0 ligand28192-0
SAKSIJ,Ni,ligand5727-0 ligand31878-0
CEWBOV,Hg,ligand17669-0 ligand17669-0
FAGKOO,Au,ligand0-0 ligand0-0 ligand1891-0
YIPZIJ,Fe,ligand6-0 ligand11-0 ligand11-0 ligand3552-0
MAZGOL,Ru,ligand29-0 ligand29-0 ligand167-0
MOSQAM,Ti,ligand0-0 ligand61-0 ligand19339-0
MOJPAD,Pd,ligand0-0 ligand0-0 ligand25685-0
DUQVES,Ru,ligand10-0 ligand22-0 ligand15100-0
DIGZEY,Zr,ligand0-0 ligand22-0 ligand22-0 ligand37376-0
SEBWIJ,Zn,ligand20-0 ligand20-0 ligand2581-0 ligand2581-0
KOHTEH,Pt,ligand0-0 ligand0-0 ligand91-0 ligand8688-0
YEHMIH,Ni,ligand20904-0 ligand20904-0
HEFQAM,Pd,ligand14243-0 ligand14243-0
QAWMOS,Mo,ligand6-0 ligand6-0 ligand6-0 ligand52-0 ligand482-0 ligand15628-0
ADUZUU,Ir,ligand61-0 ligand7201-0 ligand7202-0
ZOGKOX,Pd,ligand21591-0 ligand30384-0
IPEPOK,Ni,ligand12-0 ligand5727-0
GEQMOE,Au,ligand7318-0
TUQCEQ,Pd,ligand0-0 ligand0-0 ligand32443-0
FUNJEE,Ni,ligand59-0 ligand35118-0
FIDQAO,Pd,ligand1188-0 ligand1188-0 ligand8029-0
AXIVIP,Ni,ligand20-0 ligand20-0 ligand22974-0
KEKFUB,Ru,ligand228-0 ligand796-0 ligand2849-0
GUPRIS,Re,ligand55-0 ligand1226-0 ligand24948-0
HUZMAT,Pd,ligand0-0 ligand0-0 ligand26950-0
ECOBAC,Rh,ligand4643-0 ligand21176-0
AXUCUT,Zn,ligand20-0 ligand20-0 ligand10362-0
TUDSES,Pt,ligand36-0 ligand888-0 ligand32196-0
XAMVEO,Pt,ligand251-0 ligand3591-0
LAWRIK,Zr,ligand6-0 ligand22-0 ligand26867-0
EWOTIW,Tc,ligand11-0 ligand11-0 ligand28-0 ligand28-0 ligand591-0
