subgraph, indices
VIBYOU-subgraph-2, 7 20 14 8 25 21 19 15 9 13 54 24 50 22 49 18 45 16 10 40 12 44 53 23 51 17 48 46 41 11 43 52 47 42 
XUHVIF-subgraph-0, 1 34 45 56 35 43 46 54 57 65 36 37 41 44 47 48 52 55 58 59 66 63 38 39 42 49 50 53 60 61 64 40 51 62 
JUZRIF-subgraph-0, 1 17 29 23 18 22 34 30 28 24 19 47 51 21 33 61 57 31 27 56 25 52 20 48 50 60 32 58 26 55 53 49 59 54 
TEWLEP-subgraph-1, 2 42 53 31 43 51 54 62 32 40 44 45 49 52 55 56 60 63 33 34 41 38 46 47 50 57 58 61 35 36 39 48 59 37 
NAKREY-subgraph-1, 2 49 27 38 50 58 28 36 39 47 51 52 59 56 29 30 34 37 41 40 45 48 53 54 57 31 32 35 42 43 46 55 33 44 
SAKFOB-subgraph-0, 1 42 53 31 43 51 54 62 32 40 44 45 49 52 55 56 60 63 33 34 41 38 46 47 50 57 58 61 35 36 39 48 59 37 
OWAKUV-subgraph-1, 13 25 36 14 26 34 37 45 15 23 27 28 35 32 38 39 43 46 17 16 21 24 29 30 33 41 40 44 18 19 22 31 42 20 
BARSUM-subgraph-2, 3 25 36 14 26 34 37 45 15 23 27 28 35 32 38 39 43 46 17 16 21 24 29 30 33 41 40 44 18 19 22 31 42 20 
BARSUM-subgraph-3, 4 58 69 47 59 67 70 78 48 56 60 61 65 68 71 72 76 79 49 50 57 54 62 63 66 73 74 77 51 52 55 64 75 53 
PUQGUD-subgraph-3, 5 65 43 54 66 74 44 52 55 63 67 68 75 72 45 46 50 53 57 56 61 64 69 70 73 47 48 51 58 59 62 71 49 60 
GICBUT-subgraph-3, 12 35 13 24 44 36 14 22 25 33 42 45 37 38 15 16 20 23 26 27 34 31 43 40 39 17 18 21 28 29 32 41 19 30 
KAVYUC-subgraph-1, 3 43 37 31 44 48 38 39 36 32 45 77 81 47 42 72 73 40 35 71 33 67 46 78 80 41 76 74 34 70 68 79 75 69 
JOQXIY-subgraph-2, 3 41 52 63 42 50 53 61 64 72 43 44 51 48 54 55 59 62 65 66 73 70 45 46 49 57 56 60 67 68 71 47 58 69 
KITBOF-subgraph-1, 2 57 35 46 66 58 36 44 47 55 67 64 59 60 37 38 42 45 49 48 53 56 65 62 61 39 40 43 50 51 54 63 41 52 
VILQAL-subgraph-2, 3 26 37 48 27 35 38 46 49 57 28 29 33 36 39 40 44 47 50 51 58 55 30 31 34 41 42 45 52 53 56 32 43 54 
ADINIM-subgraph-0, 1 49 27 38 50 58 28 36 39 47 51 52 59 56 29 30 34 37 41 40 45 48 53 54 57 31 32 35 42 43 46 55 33 44 
RUTHOD-subgraph-3, 4 17 11 5 18 22 12 16 10 6 33 19 21 37 28 13 15 32 9 27 7 23 34 20 36 29 14 31 26 8 24 35 30 25 
OJIVEI-subgraph-0, 1 34 28 40 35 39 33 29 41 45 66 36 38 70 65 32 61 30 42 71 75 44 67 37 69 31 64 62 43 72 74 68 63 73 
MAMNOE-subgraph-1, 2 33 27 21 34 38 28 32 26 22 35 69 73 37 29 64 68 31 25 63 59 23 36 70 72 65 30 67 62 24 60 71 66 61 
PAPQEC-subgraph-0, 1 33 27 21 34 38 28 32 26 22 35 59 37 63 29 54 58 31 25 53 49 23 36 60 62 30 55 57 52 24 50 61 56 51 
REFBUA-subgraph-2, 3 18 29 40 19 27 30 38 41 49 20 21 25 28 31 32 36 39 42 43 50 47 22 23 26 33 34 37 44 45 48 24 35 46 
REFBUA-subgraph-3, 4 73 51 62 74 82 60 52 63 71 75 76 83 80 58 61 53 54 65 64 69 72 77 78 81 59 56 55 66 67 70 79 57 68 
FNCPPT-subgraph-1, 1 41 35 39 75 36 38 71 8 2 68 37 70 9 14 3 7 69 10 47 52 13 42 4 46 6 48 12 51 43 5 45 50 44 
FNCPPT-subgraph-2, 15 16 76 20 17 53 28 21 57 19 18 54 34 29 27 23 56 55 32 67 30 63 26 62 24 58 66 31 64 25 61 59 65 60 
RUZKIJ-subgraph-0, 1 17 30 24 60 48 50 35 66 4 61 40 49 58 51 20 36 22 67 68 33 5 41 52 59 10 21 23 69 38 34 53 11 39 
FIDKAG-subgraph-1, 2 59 37 48 27 35 38 46 49 57 28 29 33 36 39 40 44 47 50 51 58 55 30 31 34 41 42 45 52 53 56 32 43 54 
DEQLOB-subgraph-1, 2 59 37 48 68 60 38 46 49 57 66 69 61 62 39 40 44 47 50 51 58 55 67 64 63 41 42 45 52 53 56 65 43 54 
KASYIP-subgraph-1, 47 48 56 83 49 50 57 54 58 69 51 52 55 59 67 70 78 53 60 61 65 68 72 71 76 79 62 63 66 73 74 77 64 75 
YANLUY-subgraph-1, 3 11 8 32 15 24 19 20 33 37 53 22 49 26 18 48 44 38 58 40 43 54 34 52 50 36 47 45 41 57 55 51 46 56 
YANLUY-subgraph-2, 4 17 12 13 31 16 9 10 28 21 35 69 73 23 42 63 27 59 25 64 68 29 14 70 72 62 39 60 65 30 67 71 61 66 
HISHID-subgraph-0, 1 35 46 24 36 44 47 55 25 33 37 38 42 45 49 48 53 56 26 27 34 31 39 40 43 50 51 54 28 29 32 41 52 30 
JOPTOA-subgraph-1, 32 72 33 41 43 54 34 35 42 39 44 52 55 63 36 37 40 45 46 50 53 56 57 64 61 38 48 47 51 58 59 62 49 60 
ODADOP-subgraph-2, 41 42 53 64 43 51 54 62 65 73 44 45 49 52 55 56 60 63 66 67 74 71 46 47 50 57 58 61 68 69 72 48 59 70 
TUWRAF-subgraph-0, 1 33 11 22 34 42 12 20 23 31 35 36 43 40 13 14 18 21 25 24 29 32 37 38 41 15 16 19 26 27 30 39 17 28 
VANCAP-subgraph-0, 1 43 54 32 44 52 55 63 33 41 45 46 50 53 57 56 61 64 34 35 42 39 47 48 51 58 59 62 36 37 40 49 60 38 
MEBMUC-subgraph-1, 2 33 4 32 35 43 9 5 34 42 59 37 41 67 22 8 18 6 58 36 66 40 61 39 65 21 7 19 60 38 64 63 20 62 
VOTCIT-subgraph-1, 22 23 70 31 24 25 33 44 32 29 26 27 34 42 45 53 30 28 35 36 40 43 46 47 51 54 37 38 41 48 49 52 39 50 
GIYBEY-subgraph-0, 1 33 44 55 34 42 45 53 56 64 35 36 43 40 46 47 51 54 57 58 65 62 37 38 41 49 48 52 59 60 63 39 50 61 
EWOPOV-subgraph-0, 1 10 4 16 11 15 9 5 17 21 35 12 14 39 34 8 6 30 18 40 20 44 36 13 38 33 7 31 41 19 43 37 32 42 
ZENCAW-subgraph-0, 1 34 45 56 35 43 46 54 57 65 36 37 41 44 47 48 52 55 58 59 66 63 38 39 42 49 50 53 60 61 64 40 51 62 
OXUZAJ-subgraph-1, 2 9 4 8 33 10 6 16 14 24 34 39 11 22 28 7 17 31 37 15 25 45 19 40 23 12 29 32 38 47 46 20 13 48 
LACMEK-subgraph-2, 3 9 20 31 10 18 21 29 32 40 11 12 19 16 22 23 27 30 33 34 41 38 13 14 17 25 24 28 35 36 39 15 26 37 
BOFPOC-subgraph-1, 2 42 53 31 43 51 54 62 32 40 44 45 49 52 55 56 60 63 33 34 41 38 46 47 50 57 58 61 35 36 39 48 59 37 
POLBIC-subgraph-0, 1 73 51 62 74 82 52 60 63 71 75 76 83 80 53 54 58 61 65 64 69 72 77 78 81 55 56 59 66 67 70 79 57 68 
MAWPAC-subgraph-1, 2 19 14 7 12 21 63 40 57 8 13 55 17 22 69 64 41 49 58 61 9 44 53 56 18 70 24 50 62 15 45 54 25 16 
MAWPAC-subgraph-2, 3 4 20 48 36 77 42 51 71 31 73 37 46 78 43 59 67 52 75 72 38 32 74 26 47 65 60 68 76 79 39 27 66 80 
ESUXUM-subgraph-4, 9 10 21 32 11 19 22 30 33 41 12 13 17 20 23 24 28 31 34 35 42 39 14 15 18 25 26 29 36 37 40 16 27 38 
ESUXUM-subgraph-5, 43 66 44 55 67 75 45 53 56 64 68 69 73 76 46 47 51 54 57 58 65 62 70 71 74 49 48 52 59 60 63 72 50 61 
OMEGOF-subgraph-0, 1 17 28 6 18 26 29 37 7 15 19 20 27 24 30 31 35 38 9 8 13 16 21 22 25 33 32 36 10 11 14 23 34 12 
JEZLEF-subgraph-5, 6 18 12 24 17 13 11 7 19 23 34 16 14 30 10 29 25 8 35 20 22 39 33 15 31 9 28 26 36 21 38 32 27 37 
IRIYUG-subgraph-3, 7 8 16 47 9 10 17 14 18 29 11 12 15 19 27 38 30 13 20 21 25 28 36 39 32 31 22 23 26 34 37 33 24 35 
ONIWIT-subgraph-0, 1 26 37 48 27 35 38 46 49 57 28 29 33 36 39 40 44 47 50 51 58 55 30 31 34 41 42 45 52 53 56 32 43 54 
QIDWUX-subgraph-0, 1 25 3 14 26 34 4 12 15 23 27 28 35 32 5 6 10 13 17 16 21 24 29 30 33 7 8 11 18 19 22 31 9 20 
YIXVUW-subgraph-0, 1 33 27 21 34 38 28 32 26 22 35 61 65 37 29 56 60 31 25 55 51 23 36 62 64 57 30 59 54 24 52 63 58 53 
MIPBEU-subgraph-1, 2 43 54 32 44 52 55 63 33 41 45 46 50 53 57 56 61 64 34 35 42 39 47 48 51 58 59 62 36 37 40 49 60 38 
WULLAQ-subgraph-1, 3 57 68 46 66 58 69 77 47 55 67 64 59 60 70 71 75 78 49 48 53 56 65 62 61 73 72 76 50 51 54 63 74 52 
MOJYEP-subgraph-1, 2 25 19 13 26 30 20 24 18 14 27 53 57 29 21 48 52 23 17 47 43 15 28 54 56 49 22 51 46 16 44 55 50 45 
EQEZEI-subgraph-0, 1 2 3 4 17 6 26 12 19 8 18 36 28 7 27 32 13 22 20 24 9 38 37 30 29 33 15 23 25 34 39 31 16 35 
ZUJXIN-subgraph-0, 1 26 37 15 27 35 38 46 16 24 28 29 33 36 39 40 44 47 17 18 25 22 30 31 34 41 42 45 19 20 23 32 43 21 
ZUJXIN-subgraph-1, 2 59 70 48 68 60 71 79 49 57 66 69 61 62 73 72 77 80 50 51 58 55 67 64 63 74 75 78 52 53 56 65 76 54 
LUSHEO-subgraph-2, 3 66 44 55 67 75 45 53 56 64 68 69 73 76 46 47 51 54 57 58 65 62 70 71 74 49 48 52 59 60 63 72 50 61 
SESZIC-subgraph-3, 9 11 10 18 12 13 16 19 14 15 17 47 41 30 31 39 20 28 32 33 40 37 21 22 26 29 34 35 38 24 23 27 36 25 
SEFDEO-subgraph-0, 1 43 54 32 44 52 55 63 33 41 45 46 50 53 57 56 61 64 34 35 42 39 47 48 51 58 59 62 36 37 40 49 60 38 
PAFCAA-subgraph-0, 1 20 14 8 25 21 19 15 9 13 61 24 57 22 18 56 52 16 10 47 51 12 60 23 58 17 55 53 11 48 50 59 54 49 
PAFCAA-subgraph-1, 2 26 38 32 27 31 43 39 33 37 28 62 66 30 42 76 40 72 34 67 36 71 29 63 65 41 75 73 35 68 70 64 74 69 
KURFOS-subgraph-1, 3 18 12 24 19 23 17 13 25 29 20 44 22 48 43 16 14 39 49 26 28 53 21 45 47 42 15 40 50 27 52 46 41 51 
EVEKOF-subgraph-2, 3 27 38 16 28 36 39 47 17 25 29 30 34 37 41 40 45 48 18 19 26 23 31 32 35 42 43 46 20 21 24 33 44 22 
EVEKOF-subgraph-3, 4 49 60 71 50 58 61 69 72 80 51 52 59 56 62 63 67 70 73 74 81 78 53 54 57 65 64 68 75 76 79 55 66 77 
CYPTBU-subgraph-1, 1 2 6 80 3 44 48 5 8 15 4 45 47 9 13 16 20 46 10 50 12 54 17 55 19 59 11 51 53 56 18 58 52 57 
CYPTBU-subgraph-2, 22 81 27 23 36 29 64 26 24 60 41 37 34 30 25 63 61 40 74 38 70 33 69 65 31 62 73 39 71 32 68 66 72 67 
XEJXUH-subgraph-1, 22 57 23 31 33 44 24 25 32 29 34 42 45 53 26 27 30 35 36 40 43 46 47 51 54 28 37 38 41 48 49 52 39 50 
PIYSUP-subgraph-0, 1 18 29 7 19 27 30 38 8 16 20 21 25 28 31 32 36 39 9 10 17 14 22 23 26 33 34 37 11 12 15 24 35 13 
PIYSUP-subgraph-1, 2 51 62 40 52 60 63 71 41 49 53 54 58 61 65 64 69 72 42 43 50 47 55 56 59 66 67 70 44 45 48 57 68 46 
MEDBUT-subgraph-1, 6 59 37 48 60 68 38 46 49 57 61 62 66 69 39 40 44 47 50 51 58 55 63 64 67 41 42 45 52 53 56 65 43 54 
NOYWUV-subgraph-0, 1 34 45 56 35 43 46 54 57 65 36 37 41 44 47 48 52 55 58 59 66 63 38 39 42 49 50 53 60 61 64 40 51 62 
XATCEA-subgraph-0, 1 17 28 6 18 26 29 37 7 15 19 20 27 24 30 31 35 38 9 8 13 16 21 22 25 33 32 36 10 11 14 23 34 12 
XATCEA-subgraph-3, 39 51 62 40 52 60 71 63 41 49 53 54 58 61 69 72 65 64 42 43 50 47 55 56 59 67 70 66 44 45 48 57 68 46 
WAGZUB-subgraph-1, 3 17 4 6 45 39 33 51 22 7 49 46 63 40 34 61 65 52 55 23 41 8 57 50 64 67 62 66 59 56 42 58 68 60 
MIXGEG-subgraph-1, 2 35 46 24 36 44 47 55 25 33 37 38 42 45 49 48 53 56 26 27 34 31 39 40 43 50 51 54 28 29 32 41 52 30 
ZUSLUW-subgraph-2, 3 41 31 24 25 64 27 69 20 44 26 46 65 8 28 6 60 70 21 15 13 45 33 47 9 10 7 61 35 16 14 34 11 36 
IGAKUW-subgraph-0, 1 34 45 23 35 43 46 54 24 32 36 37 41 44 47 48 52 55 25 26 33 30 38 39 42 49 50 53 27 28 31 40 51 29 
SOXRED-subgraph-1, 2 35 29 23 36 40 34 30 28 24 37 70 74 39 33 69 65 31 27 64 25 60 38 71 73 68 32 66 26 63 61 72 67 62 
DACXEN-subgraph-2, 4 50 61 39 51 59 62 70 40 48 52 53 57 60 63 64 68 71 41 42 49 46 54 55 58 65 66 69 43 44 47 56 67 45 
LIGDOU-subgraph-1, 2 10 22 16 11 15 27 23 17 21 34 12 14 38 26 48 44 24 18 39 43 20 35 13 37 25 47 45 19 40 42 36 46 41 
SASWOZ-subgraph-2, 3 20 14 8 25 21 19 15 9 13 57 24 53 22 18 52 16 48 10 43 12 47 23 56 54 17 51 49 11 44 46 55 50 45 
SEQVAL-subgraph-0, 1 18 30 24 17 13 25 29 19 23 54 16 50 14 26 60 28 64 20 55 59 22 53 15 51 27 61 63 21 56 58 52 62 57 
CORMEB-subgraph-0, 1 34 28 40 35 39 33 29 41 45 36 71 75 38 70 32 66 30 42 76 44 80 37 72 74 69 31 67 43 77 79 73 68 78 
TIFSEI-subgraph-2, 3 26 37 15 27 35 38 46 16 24 28 29 33 36 39 40 44 47 17 18 25 22 30 31 34 41 42 45 19 20 23 32 43 21 
RUHSIY-subgraph-2, 4 51 62 40 60 52 63 71 41 49 58 61 53 54 65 64 69 72 42 43 50 47 59 56 55 66 67 70 44 45 48 57 68 46 
PASFOF-subgraph-1, 2 35 29 23 36 40 34 30 28 24 37 62 66 39 33 61 57 31 27 56 25 52 38 63 65 60 32 58 26 55 53 64 59 54 
WUXRUE-subgraph-2, 3 44 38 32 49 45 43 39 33 37 77 48 73 46 42 72 68 40 34 63 67 36 76 47 74 41 71 69 35 64 66 75 70 65 
AQIVIG-subgraph-1, 18 27 23 24 25 21 28 32 19 30 26 38 22 48 42 29 33 50 20 36 46 31 34 39 49 43 40 51 44 37 47 35 41 45 
CAZGUG-subgraph-1, 13 81 14 22 35 24 15 16 20 23 36 44 25 33 17 18 21 37 38 42 45 26 27 34 31 19 39 40 43 28 29 32 41 30 
CAZGUG-subgraph-2, 46 47 82 55 49 48 57 68 53 56 50 51 66 58 69 77 54 52 67 64 59 60 70 71 75 78 65 62 61 73 72 76 63 74 
AYIGEW-subgraph-0, 1 43 21 32 44 52 22 30 33 41 45 46 50 53 23 24 28 31 34 35 42 39 47 48 51 25 26 29 36 37 40 49 27 38 
JOMJAY-subgraph-2, 17 18 29 40 19 27 30 38 41 49 20 21 25 28 31 32 36 39 42 43 50 47 22 23 26 33 34 37 44 45 48 24 35 46 
JOMJAY-subgraph-3, 51 74 52 63 75 83 53 61 64 72 76 77 81 84 54 55 59 62 65 66 73 70 78 79 82 57 56 60 67 68 71 80 58 69 
RANQEE-subgraph-2, 3 43 21 32 44 52 22 30 33 41 45 46 50 53 23 24 28 31 34 35 42 39 47 48 51 25 26 29 36 37 40 49 27 38 
DUMCUJ-subgraph-2, 5 26 20 14 27 31 25 21 19 15 28 52 30 56 51 24 22 47 18 46 42 16 29 53 55 50 23 48 17 45 43 54 49 44 
MANSEZ-subgraph-0, 1 42 53 64 43 51 54 62 65 73 44 45 49 52 55 56 60 63 66 67 74 71 46 47 50 57 58 61 68 69 72 48 59 70 
XIRMAN-subgraph-2, 3 26 4 15 27 35 5 13 16 24 28 29 33 36 6 7 11 14 17 18 25 22 30 31 34 9 8 12 19 20 23 32 10 21 
EZUWAY-subgraph-1, 12 13 21 48 14 15 19 22 34 23 17 16 20 35 43 24 32 18 36 37 41 44 25 26 33 30 38 39 42 27 28 31 40 29 
NABGII-subgraph-1, 2 17 28 6 18 26 29 37 7 15 19 20 27 24 30 31 35 38 9 8 13 16 21 22 25 33 32 36 10 11 14 23 34 12 
NABGII-subgraph-2, 3 50 61 39 51 59 62 70 40 48 52 53 57 60 63 64 68 71 41 42 49 46 54 55 58 65 66 69 43 44 47 56 67 45 
JUFQAC-subgraph-0, 1 26 4 15 27 35 5 13 16 24 28 29 33 36 6 7 11 14 17 18 25 22 30 31 34 9 8 12 19 20 23 32 10 21 
BAPLEK-subgraph-2, 44 67 45 56 68 76 46 54 57 65 69 70 74 77 47 48 52 55 58 59 66 63 71 72 75 49 50 53 60 61 64 73 51 62 
ZIHQOY-subgraph-2, 3 33 44 55 34 42 45 53 56 64 35 36 43 40 46 47 51 54 57 58 65 62 37 38 41 49 48 52 59 60 63 39 50 61 
HUTZOM-subgraph-0, 0 1 67 9 2 3 11 22 10 7 4 5 12 20 23 31 8 6 13 14 18 21 24 25 32 29 16 15 19 26 27 30 17 28 
XUMTAD-subgraph-1, 2 6 7 8 17 23 66 15 13 21 9 18 19 24 67 68 70 16 27 14 25 22 74 10 20 69 72 71 11 28 26 75 73 12 
XUMTAD-subgraph-2, 4 52 29 55 62 56 30 32 58 53 63 64 57 76 38 31 33 36 82 59 60 54 65 78 77 34 39 37 83 80 61 79 35 81 
YIJVEV-subgraph-0, 1 41 19 30 42 50 20 28 39 31 43 44 51 48 21 22 26 29 37 40 33 32 45 46 49 23 24 27 35 38 34 47 25 36 
TIRCEF-subgraph-2, 3 50 28 39 51 59 29 37 40 48 52 53 57 60 30 31 35 38 41 42 49 46 54 55 58 33 32 36 43 44 47 56 34 45 
XAZBEI-subgraph-0, 1 18 29 40 19 27 30 38 41 49 20 21 25 28 31 32 36 39 42 43 50 47 22 23 26 33 34 37 44 45 48 24 35 46 
QAVDEA-subgraph-2, 3 57 35 46 66 58 36 44 47 55 67 64 59 60 37 38 42 45 49 48 53 56 65 62 61 39 40 43 50 51 54 63 41 52 
HUXQUM-subgraph-2, 3 43 21 32 44 52 22 30 33 41 45 46 50 53 23 24 28 31 34 35 42 39 47 48 51 25 26 29 36 37 40 49 27 38 
AGOQOD-subgraph-1, 1 2 10 35 3 4 8 11 12 23 5 6 9 13 21 24 32 7 14 15 19 22 25 26 33 30 16 17 20 27 28 31 18 29 
AGOQOD-subgraph-3, 38 39 47 72 41 40 45 48 49 60 42 43 46 50 58 61 69 44 51 52 59 56 62 63 67 70 53 54 57 65 64 68 55 66 
ZICTOY-subgraph-1, 5 42 53 31 43 51 54 62 32 40 44 45 49 52 55 56 60 63 33 34 41 38 46 47 50 57 58 61 35 36 39 48 59 37 
KOZPUK-subgraph-0, 1 41 35 29 42 46 36 40 34 30 74 43 45 78 37 69 73 39 33 68 31 64 75 44 77 38 70 72 67 32 65 76 71 66 
YOYMOP-subgraph-0, 1 18 29 40 19 27 30 38 41 49 20 21 25 28 31 32 36 39 42 43 50 47 22 23 26 33 34 37 44 45 48 24 35 46 
PILBIW-subgraph-3, 7 26 37 48 27 35 38 46 49 57 28 29 33 36 39 40 44 47 50 51 58 55 30 31 34 41 42 45 52 53 56 32 43 54 
NUFPEJ-subgraph-0, 1 67 45 56 68 76 46 54 57 65 69 70 74 77 47 48 52 55 58 59 66 63 71 72 75 49 50 53 60 61 64 73 51 62 
YUSYOC-subgraph-3, 4 73 51 62 74 82 60 52 63 71 75 76 83 80 58 61 53 54 65 64 69 72 77 78 81 59 56 55 66 67 70 79 57 68 
BIFROB-subgraph-0, 1 73 34 64 79 32 52 16 43 7 65 80 33 62 37 53 17 46 44 39 58 8 9 66 63 41 38 47 20 40 59 10 42 21 
BIFROB-subgraph-1, 2 11 22 78 25 18 76 56 35 54 26 67 19 60 77 23 57 29 74 36 12 55 68 48 61 50 24 30 27 75 13 49 51 28 
XAWPOA-subgraph-1, 2 27 21 15 28 32 26 22 20 16 29 54 58 31 25 53 49 23 19 48 17 44 30 55 57 52 24 50 18 47 45 56 51 46 
ESELIY-subgraph-0, 1 5 31 32 6 14 33 49 34 50 7 8 12 15 35 37 51 45 36 38 52 46 9 10 13 41 39 47 42 40 48 11 43 44 
ESELIY-subgraph-1, 2 53 54 16 55 71 56 72 17 25 57 59 73 67 58 60 74 68 18 19 26 23 61 63 69 62 64 70 20 21 24 65 66 22 
VICJOH-subgraph-0, 1 65 43 54 66 74 44 52 55 63 67 68 75 72 45 46 50 53 57 56 61 64 69 70 73 47 48 51 58 59 62 71 49 60 
KUCXIQ-subgraph-2, 3 26 4 15 27 35 5 13 16 24 28 29 33 36 6 7 11 14 17 18 25 22 30 31 34 9 8 12 19 20 23 32 10 21 
KUCXIQ-subgraph-4, 50 73 51 62 82 74 52 60 63 71 83 80 75 76 53 54 58 61 65 64 69 72 81 78 77 55 56 59 66 67 70 79 57 68 
EWOFUU-subgraph-3, 3 72 4 12 25 14 5 6 10 13 26 34 15 23 8 7 11 27 28 32 35 16 17 24 21 9 29 30 33 18 19 22 31 20 
EWOFUU-subgraph-4, 36 73 37 45 58 47 38 39 43 46 67 59 48 56 40 41 44 65 68 60 61 49 50 57 54 42 66 63 62 51 52 55 64 53 
VIDDUH-subgraph-0, 1 10 4 16 11 15 9 5 17 21 51 12 14 55 50 8 6 46 18 56 20 60 52 13 54 49 7 47 57 19 59 53 48 58 
FOLKAS-subgraph-1, 5 18 12 6 19 23 17 13 11 7 34 20 22 38 33 16 29 14 10 28 8 24 35 21 37 15 32 30 9 27 25 36 31 26 
OKEMOH-subgraph-0, 1 10 22 16 11 15 27 23 17 21 12 38 42 14 26 52 24 48 18 43 20 47 13 39 41 25 51 49 19 44 46 40 50 45 
CIRNEX-subgraph-0, 1 9 5 7 17 44 12 23 21 48 18 42 50 45 13 46 19 24 25 22 49 40 43 62 51 58 47 20 26 29 41 63 59 30 
GACXOY-subgraph-0, 1 27 38 16 28 36 39 47 17 25 29 30 34 37 41 40 45 48 18 19 26 23 31 32 35 42 43 46 20 21 24 33 44 22 
GACXOY-subgraph-1, 2 49 60 71 78 72 61 69 50 58 79 80 73 76 62 63 67 70 51 52 59 56 81 74 77 65 64 68 53 54 57 75 66 55 
QADROC-subgraph-2, 21 34 28 22 35 39 33 29 27 23 36 60 38 64 59 32 30 55 26 54 50 24 37 61 63 58 31 56 25 53 51 62 57 52 
IPOVEP-subgraph-2, 3 19 30 8 20 28 39 31 9 17 21 22 26 29 37 40 33 32 10 11 18 15 23 24 27 35 38 34 12 13 16 25 36 14 
PEKNEA-subgraph-3, 25 26 37 48 27 35 38 46 49 57 28 29 33 36 39 40 44 47 50 51 58 55 30 31 34 41 42 45 52 53 56 32 43 54 
ROSLUI-subgraph-1, 2 17 11 5 18 22 12 16 10 6 57 19 21 61 52 13 15 56 9 51 47 7 58 20 60 53 14 55 50 8 48 59 54 49 
ROSLUI-subgraph-2, 3 35 29 23 36 40 34 30 28 24 37 72 76 39 33 71 67 31 66 27 25 62 73 38 75 70 32 68 65 26 63 74 69 64 
SECJEQ-subgraph-0, 1 59 37 48 60 68 38 46 49 57 61 62 66 69 39 40 44 47 50 51 58 55 63 64 67 41 42 45 52 53 56 65 43 54 
PUVLEX-subgraph-1, 5 33 11 22 34 42 12 20 23 31 35 36 43 40 13 14 18 21 25 24 29 32 37 38 41 15 16 19 26 27 30 39 17 28 
PUVLEX-subgraph-2, 6 66 44 55 67 75 45 53 56 64 68 69 73 76 46 47 51 54 57 58 65 62 70 71 74 49 48 52 59 60 63 72 50 61 
GATJES-subgraph-0, 0 72 1 9 11 22 2 3 10 7 12 20 23 31 4 5 8 13 14 18 21 24 25 32 29 6 16 15 19 26 27 30 17 28 
KUWPAU-subgraph-0, 1 18 29 40 19 27 30 38 41 49 20 21 25 28 31 32 36 39 42 43 50 47 22 23 26 33 34 37 44 45 48 24 35 46 
PAFZON-subgraph-1, 33 34 42 82 35 36 40 43 44 55 37 38 41 45 53 56 64 39 46 47 51 54 57 58 65 62 48 49 52 59 60 63 50 61 
MOXWOO-subgraph-1, 2 26 37 48 27 35 38 46 49 57 28 29 33 36 39 40 44 47 50 51 58 55 30 31 34 41 42 45 52 53 56 32 43 54 
WAYQUM-subgraph-1, 12 13 21 47 14 15 19 22 34 23 16 17 20 35 43 24 32 18 36 37 41 44 25 26 33 30 38 39 42 27 28 31 40 29 
OXIFEH-subgraph-1, 2 27 38 16 28 36 39 47 17 25 29 30 34 37 41 40 45 48 18 19 26 23 31 32 35 42 43 46 20 21 24 33 44 22 
OXIFEH-subgraph-2, 3 49 60 71 50 58 61 69 72 80 51 52 59 56 62 63 67 70 73 74 81 78 53 54 57 65 64 68 75 76 79 55 66 77 
UZIGER-subgraph-1, 2 35 46 24 36 44 47 55 25 33 37 38 42 45 49 48 53 56 26 27 34 31 39 40 43 50 51 54 28 29 32 41 52 30 
REGWAD-subgraph-0, 1 10 6 8 41 16 18 14 27 20 42 55 17 49 19 29 12 15 59 28 51 21 39 56 50 30 31 13 60 53 52 40 32 54 
NOWQEV-subgraph-0, 1 17 11 5 18 22 12 16 10 6 33 19 21 37 28 13 15 32 9 27 7 23 34 20 36 29 14 31 26 8 24 35 30 25 
NOWQEV-subgraph-3, 38 50 61 39 51 55 66 62 44 40 52 60 54 56 65 67 63 71 43 45 41 49 59 53 57 68 64 70 42 46 48 58 69 47 
QOCJAU-subgraph-0, 1 12 5 6 21 8 27 15 35 45 53 22 9 25 28 37 47 16 49 36 67 46 43 54 26 38 39 48 65 50 68 44 40 66 
CIBDAT-subgraph-1, 11 18 12 24 19 23 17 13 25 29 49 20 53 22 16 48 44 14 26 54 58 28 50 21 52 47 15 45 27 55 57 51 46 56 
WEPJEG-subgraph-0, 1 9 3 15 10 14 4 8 20 16 49 11 13 53 44 5 7 48 58 19 17 54 50 12 52 45 6 47 57 18 55 51 46 56 
WEPJEG-subgraph-1, 2 33 27 21 34 38 28 32 26 22 35 69 73 37 29 64 68 31 25 63 59 23 36 70 72 65 30 67 62 24 60 71 66 61 
PIZMOB-subgraph-0, 1 33 11 22 34 42 12 20 23 31 35 36 43 40 13 14 18 21 25 24 29 32 37 38 41 15 16 19 26 27 30 39 17 28 
PIZMOB-subgraph-1, 2 66 44 55 67 75 45 53 56 64 68 69 73 76 46 47 51 54 57 58 65 62 70 71 74 49 48 52 59 60 63 72 50 61 
DOGROJ-subgraph-1, 2 41 52 63 42 50 53 61 64 72 43 44 51 48 54 55 59 62 65 66 73 70 45 46 49 57 56 60 67 68 71 47 58 69 
CEKSET-subgraph-3, 30 69 31 39 43 52 32 33 40 37 50 44 41 53 34 35 38 48 51 45 46 42 61 54 55 36 49 59 47 57 62 56 60 58 
NEBHEK-subgraph-0, 1 58 36 47 59 67 37 45 48 56 60 61 65 68 38 39 43 46 49 50 57 54 62 63 66 41 40 44 51 52 55 64 42 53 
