,core,ligands
PIKRAD,Zn,ligand719-0 ligand719-0 ligand825-0 ligand825-0
KAKWIC,Pt,ligand141-0 ligand141-0 ligand27253-0
VIQZIG,Rh,ligand40-0 ligand40-0 ligand48-0 ligand12409-0
ZILVUO,Mn,ligand4-0 ligand4-0 ligand4-0 ligand23748-0
HOQGUQ,Pt,ligand1-0 ligand1-0 ligand4172-0
JOQKIJ,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand17688-0
KOQYUM,Mo,ligand24-0 ligand24-0 ligand78-0 ligand13117-0
BDMFRU,Ru,ligand4-0 ligand4-0 ligand29297-0
ESUVUL,Ni,ligand919-0
RISPIT,Cu,ligand49-0 ligand49-0 ligand15410-0
MOMYOC,Cu,ligand24311-0 ligand24312-0
QAFFAE,Ag,ligand6025-0
KATPUT,Co,ligand45-0 ligand5890-0
ISUYOK,Zr,ligand1-0 ligand1-0 ligand48-0 ligand3086-0
LAYPUY,Au,ligand1-0 ligand1-0 ligand1-0 ligand14305-0
UREKEJ,Au,ligand51-0 ligand9512-1
NOSVIC,Fe,ligand370-0 ligand370-0 ligand8298-0
CIKWOI,Fe,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand27633-0
PUHWOE,Pt,ligand1-0 ligand1-0 ligand1146-0 ligand1597-0
JEDWOF,Ni,ligand45-0 ligand22747-0
FESBAH,Pd,ligand3-0 ligand2772-0 ligand2772-0
XOYZES,Mo,ligand31079-0 ligand31079-0 ligand31079-0
GUVXEA,Zr,ligand3-0 ligand48-0 ligand1143-0 ligand4290-0
UYOGEW,Zn,ligand29-0 ligand600-0 ligand26184-0
MINWUB,Mo,ligand368-0 ligand416-0 ligand416-0 ligand3225-0
WUSBOC,Zn,ligand3-0 ligand3-0 ligand5967-0
UROPOH,Ti,ligand48-0 ligand1302-0
YUKZEJ,Mo,ligand4-0 ligand4-0 ligand4-0 ligand13390-0
GELWAX,Mo,ligand24-0 ligand24-0 ligand78-0 ligand19837-0
REGFOA,Ru,ligand1-0 ligand1-0 ligand20392-0 ligand20392-0
VILYOH,Pt,ligand1-0 ligand1-0 ligand6430-0 ligand6430-0
QOCVOU,V,ligand24-0 ligand24-0 ligand188-0 ligand26908-0
JUXRAV,Ti,ligand1-0 ligand45-0 ligand12598-0
UZAHEJ,Fe,ligand1-0 ligand1-0 ligand19964-0
QIGJIZ,Co,ligand7177-0 ligand7177-0 ligand7177-0
JEWCIA,Rh,ligand1-0 ligand1-0 ligand51-0 ligand28776-0
ACOWIA,Pd,ligand51-0 ligand51-0 ligand444-0 ligand444-0
YOXGOI,Pd,ligand3-0 ligand3-0 ligand188-0 ligand208-0
VINFAB,Cu,ligand8-0 ligand8-0 ligand294-0 ligand3087-0
TOZREF,V,ligand11-0 ligand24-0 ligand28238-0
PEHKIY,Mo,ligand24-0 ligand606-0 ligand686-0 ligand686-0
FUTWOH,Ru,ligand68-0 ligand4763-0
FEWWEK,Pt,ligand51-0 ligand51-0 ligand3727-0
DUMVEM,Mn,ligand4367-0 ligand17254-0
UWAVOF,Zn,ligand11577-0 ligand11577-0
JARQOL,Ag,ligand51-0 ligand51-0 ligand600-0
SOPNUI,Os,ligand67-0 ligand67-0 ligand7520-0 ligand7520-0
DIJSUN,Re,ligand4-0 ligand4-0 ligand4-0 ligand34-0 ligand172-0
BULWAH,Pt,ligand1592-0 ligand7630-0
LUFZUH,Zr,ligand45-0 ligand45-0 ligand22791-0
ADOKIO,Hg,ligand3-0 ligand3-0 ligand4921-0 ligand4921-0
NIPZIY,Ir,ligand1-0 ligand48-0 ligand27347-0
RONCAA,Ru,ligand48-0 ligand68-0 ligand28272-0
ACUSIA,Re,ligand1-0 ligand24-0 ligand51-0 ligand16504-0
VIJMOQ,Ni,ligand28384-0 ligand28384-0
RALJAQ,Fe,ligand4-0 ligand48-0 ligand830-0
SOTKUI,Pt,ligand1-0 ligand7523-0
PALDEN,Ni,ligand11897-0
NIVWEV,Os,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand15441-0
KIKHEU,Ni,ligand14169-0
WEVVEY,Cu,ligand51-0 ligand51-0 ligand14225-0
ZIHFON,Pd,ligand1-0 ligand1-0 ligand26638-0
XUYVUJ,Cu,ligand40-0 ligand1419-0
ROGXUH,Pd,ligand1-0 ligand1-0 ligand13804-0
HULDUP,Zn,ligand21-0 ligand21-0 ligand13078-0 ligand13078-0
XUPSIL,Ni,ligand1-0 ligand1-0 ligand38-0 ligand206-0
LUSVEA,Zn,ligand18-0 ligand22024-0
TEWRIY,Ni,ligand1-0 ligand1-0 ligand5846-0
WAGNOJ,Pt,ligand118-0 ligand118-0 ligand188-0 ligand188-0 ligand196-0 ligand196-0
HUPQIT,Re,ligand4-0 ligand4-0 ligand4-0 ligand421-0 ligand1015-0
GAXGER,Pt,ligand365-0 ligand2907-0
NEYQAL,Au,ligand2794-0 ligand2794-0
HOWSUH,Ru,ligand1588-0 ligand3637-0 ligand4899-0
DAYTIH,Ni,ligand9080-0
HONRUA,Zn,ligand1-0 ligand1-0 ligand1-0 ligand19061-0
LIYVUN,Au,ligand1-0 ligand13611-0
XOTXAF,Zn,ligand30676-0 ligand30676-0
RAKMEV,Au,ligand51-0 ligand21030-0
QEZRAP,Pd,ligand1-0 ligand188-0 ligand15309-0
FIRCAN,Pd,ligand485-0 ligand6143-0
NOLMEH,Ag,ligand51-0 ligand2432-0
DUMHOJ,Cu,ligand447-0 ligand15345-0
XANTEL,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand7238-0
DAJYAQ,Mo,ligand24-0 ligand24-0 ligand785-0 ligand13175-0
ZIJYAS,Pd,ligand3-0 ligand384-0 ligand9567-0
IYACUG,Ni,ligand118-0 ligand1438-0
BAYTUT,Zn,ligand1-0 ligand1-0 ligand6014-0
YAVJUD,Ni,ligand3-0 ligand932-0
ZIWCIU,Ag,ligand21575-0 ligand21575-0
ECOKOZ,Pt,ligand1-0 ligand916-0 ligand26562-0
KEMGIV,Ag,ligand4499-0
NESJIF,Pd,ligand1-0 ligand1-0 ligand25419-0
GUKKEE,Ni,ligand89-0 ligand1251-0
UMOXEA,Fe,ligand34-0 ligand34-0 ligand2514-0 ligand2514-0
PABSEQ,Au,ligand51-0 ligand2677-0
MARSIK,Au,ligand1687-0 ligand12165-0
OQUHAK,Co,ligand1518-0 ligand1518-0 ligand1519-0 ligand1519-0
BISLAT,Ir,ligand1-0 ligand48-0 ligand379-0
COGFEL,Mn,ligand4-0 ligand4-0 ligand4-0 ligand1187-0
OGANES,Sc,ligand3-0 ligand48-0 ligand48-0
WEDVAF,Y,ligand465-0 ligand465-0 ligand2262-0
GUGZEN,Pt,ligand1-0 ligand1-0 ligand133-0 ligand3989-0
HOKCUF,Ru,ligand1-0 ligand1-0 ligand4-0 ligand4-0 ligand51-0 ligand51-0
IPOGUR,Zn,ligand279-0 ligand279-0 ligand5352-0 ligand5352-0
UQUNUQ,Zn,ligand34-0 ligand34-0 ligand17091-0 ligand17091-0
VAFXUV,Ru,ligand1-0 ligand45-0 ligand1228-0 ligand1228-0
YEKHOM,Pt,ligand1-0 ligand1-0 ligand6694-0
EKEVEX,Zr,ligand18-0 ligand45-0 ligand45-0 ligand29834-0
EBAYIS,Au,ligand1-0 ligand9953-0
UYIZOS,Mo,ligand24-0 ligand24-0 ligand78-0 ligand26977-0
ORAJIC,Ru,ligand1-0 ligand13-0 ligand29168-0
HOBQIZ,Fe,ligand1-0 ligand1-0 ligand11433-0
YIXWAD,Pt,ligand18-0 ligand51-0 ligand22498-0
QIVZUR,Zn,ligand5902-0 ligand5902-0
XOMPIZ,Rh,ligand366-0 ligand1114-0
SERQIR,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand3465-0
KUPQAP,Zr,ligand18-0 ligand8779-0 ligand13423-0
ALOSAW,Ni,ligand2867-0 ligand3203-0 ligand3203-0
LAZYAO,Pd,ligand40-0 ligand384-0 ligand24706-0
ONAJET,Ru,ligand51-0 ligand193-0 ligand10741-0
HOXLEL,Cd,ligand188-0 ligand17117-0 ligand17117-0
SEVDON,Au,ligand2795-0 ligand2795-0 ligand5048-0
HUWFIP,Fe,ligand4-0 ligand4-0 ligand4-0 ligand40-0 ligand40-0 ligand560-0
VOLGOV,Hf,ligand18-0 ligand18-0 ligand27427-0
LEYCUO,Ag,ligand244-0 ligand3131-0
COMCFE,Fe,ligand4-0 ligand4-0 ligand4-0 ligand26503-0
MOZXOO,Pd,ligand1-0 ligand18-0 ligand5667-0
RUGMIP,Ti,ligand465-0 ligand465-0 ligand2907-0
PAQWEJ,Tc,ligand24-0 ligand24-0 ligand38-0 ligand38-0 ligand188-0 ligand188-0
NEVLIL,Pt,ligand365-0 ligand1160-0 ligand1160-0
GUQFOO,Fe,ligand31117-0
MACHEE,Rh,ligand1-0 ligand193-0 ligand18401-0
XUSQOT,Ni,ligand49-0 ligand49-0 ligand6686-0
SEFLEV,Cu,ligand1-0 ligand22083-0
OHUPEO,Ti,ligand199-0 ligand199-0 ligand477-0
FOQFIA,Pt,ligand1-0 ligand1-0 ligand15018-0
BIYPOO,Ta,ligand416-0 ligand416-0 ligand416-0 ligand416-0 ligand16601-0
DOYBEZ,Pd,ligand1-0 ligand1-0 ligand27409-0 ligand27409-0
TCPYPT,Pt,ligand188-0 ligand188-0 ligand210-0 ligand210-0
UWOTUX,W,ligand4-0 ligand4-0 ligand4-0 ligand4157-0
EHENEM,Ti,ligand1-0 ligand48-0 ligand23914-0
TAYQOA,Zn,ligand26584-0 ligand26584-0
KIFDOS,Fe,ligand4-0 ligand4-0 ligand7076-0 ligand7076-0
SIPKAE,Zr,ligand321-0 ligand1790-0 ligand12179-0 ligand12179-0
DIFBUR,Pd,ligand1-0 ligand1-0 ligand6747-0
UFIBAN,Ir,ligand1-0 ligand89-0 ligand2881-0 ligand7063-0
MAMQIA,Ti,ligand7205-0 ligand7205-0
AMAFAX,Pd,ligand15928-0
OCODIV,Os,ligand4-0 ligand89-0 ligand89-0 ligand112-0
DADNAY,Rh,ligand193-0 ligand196-0 ligand560-0
FUNCIC,Cu,ligand40-0 ligand51-0 ligand9081-0
OFUQIP,Fe,ligand4-0 ligand4-0 ligand4-0 ligand21207-0
TANYEP,Ru,ligand1-0 ligand845-0 ligand4788-0
VEJFEW,Rh,ligand4-0 ligand4-0 ligand11228-0
TAFQUP,Rh,ligand3-0 ligand48-0 ligand23041-0
YIYJIA,Pd,ligand1-0 ligand1-0 ligand2444-0
YIFMUV,W,ligand45-0 ligand45-0 ligand8644-0
FOVFIH,Hf,ligand321-0 ligand321-0 ligand321-0 ligand30599-0
ZOGYUS,Pt,ligand6351-0 ligand6351-0 ligand6352-0
KELSIF,Fe,ligand3-0 ligand3-0 ligand18724-0
IRAVEC,Co,ligand89-0 ligand2276-0 ligand6848-0
WENZIA,Zr,ligand89-0 ligand19663-0 ligand19664-0
QIRJOS,Zn,ligand3-0 ligand3-0 ligand4941-0
NOLCID,Re,ligand3-0 ligand4-0 ligand4-0 ligand4-0 ligand827-0
FIVVEM,Pd,ligand430-0 ligand9730-0
OCEDUY,Cu,ligand1-0 ligand6315-0 ligand6315-0
ZUWCEB,Ir,ligand8028-0 ligand8028-0 ligand31241-0
MECKAG,Rh,ligand193-0 ligand24646-0
NOYSIF,Ti,ligand45-0 ligand45-0 ligand8523-0
CEDXAN,Ru,ligand1-0 ligand13-0 ligand782-0
GOTPOW,Pd,ligand51-0 ligand380-0
ROCVEN,Mo,ligand24-0 ligand24-0 ligand78-0 ligand21984-0
DUFPEB,W,ligand4-0 ligand11-0 ligand11-0 ligand421-0 ligand421-0
AMAXIW,Mo,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand18579-0
RIYBIK,Pd,ligand21-0 ligand29477-0 ligand29477-0
PIFDUD,Ni,ligand1-0 ligand1-0 ligand830-0
JIRVEO,Pd,ligand2688-0 ligand13475-0
KALVAV,Mo,ligand1-0 ligand571-0 ligand571-0 ligand571-0 ligand14882-0
ZUWLAE,Hg,ligand73-0 ligand8116-0
LAVLUR,Pt,ligand1-0 ligand1-0 ligand6841-0
MUZYAJ,Pt,ligand1-0 ligand31268-0
IRAYAD,Pt,ligand18-0 ligand18-0 ligand18-0 ligand1505-0
LOGCOB,Ag,ligand3-0 ligand26679-0
VIZSOP,Fe,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand13615-0
XEBWOR,Co,ligand4-0 ligand51-0 ligand1154-0
DEDKII,Fe,ligand361-0 ligand361-0 ligand361-0 ligand361-0 ligand2849-0 ligand2849-0
IBEKUV,Pd,ligand142-0 ligand142-0 ligand14825-0
YIHNEK,Cd,ligand1-0 ligand1-0 ligand24910-0
GOBDEH,Pd,ligand584-0 ligand16346-0 ligand16347-0
WEPJEI,Ru,ligand51-0 ligand193-0 ligand18501-0
FEDGUR,Mo,ligand3-0 ligand3-0 ligand24-0 ligand24-0 ligand1073-0
RAYBEY,Cr,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand20634-0
THPDCU,Cu,ligand1-0 ligand3169-0
JEVHIB,Pt,ligand1-0 ligand1-0 ligand1-0 ligand17921-0
EGONEU,Pd,ligand4941-0 ligand4942-0 ligand4942-0
FEZMEC,W,ligand3-0 ligand3-0 ligand67-0 ligand67-0 ligand67-0 ligand5159-0
COFDOR,Rh,ligand40-0 ligand40-0 ligand49-0 ligand49-0 ligand31472-0
SOMWOH,Pd,ligand1-0 ligand193-0 ligand571-0
NEDMEO,Pd,ligand1-0 ligand1-0 ligand14122-0
FUFMUQ,Pd,ligand40-0 ligand40-0 ligand361-0 ligand361-0
FOYCEB,Ru,ligand89-0 ligand193-0 ligand1505-0
RODNAZ,Pd,ligand40-0 ligand40-0 ligand5896-0
BEVNOH,Ni,ligand3-0 ligand3-0 ligand2259-0
ASAJEL,Rh,ligand1-0 ligand1-0 ligand1-0 ligand1-0 ligand133-0 ligand177-0
SULSOJ,Pt,ligand1-0 ligand1-0 ligand133-0 ligand1436-0
TAKKUO,Fe,ligand4-0 ligand4-0 ligand40-0 ligand12224-0
LASHOC,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4998-0
VIDROP,W,ligand24-0 ligand24-0 ligand55-0 ligand55-0 ligand115-0
LAGYUP,Pt,ligand669-0 ligand10758-0
NOLREL,W,ligand353-0 ligand353-0 ligand3234-0
YIDCUK,Ti,ligand1-0 ligand1-0 ligand10117-0 ligand10117-0
AKOWED,Ni,ligand279-0 ligand279-0 ligand10828-0 ligand10828-0
WEHXAI,Pt,ligand51-0 ligand105-0 ligand105-0 ligand105-0
WOVKOH,Pd,ligand73-0 ligand31122-0
KUMFUU,Rh,ligand1-0 ligand48-0 ligand14756-0
KOMCOF,Ni,ligand31094-0 ligand31095-0
XOTPAX,Zn,ligand3-0 ligand241-0
RAZLUA,Re,ligand4-0 ligand4-0 ligand4-0 ligand21805-0
XIVFOA,Pd,ligand279-0 ligand4175-0 ligand4921-0
YUSNOP,Fe,ligand365-0 ligand6169-0
YUHPAS,Pt,ligand1-0 ligand1-0 ligand8370-0 ligand8370-0
YUNTEI,Pd,ligand1-0 ligand1-0 ligand20338-0 ligand20338-0
TUBCUO,Pd,ligand73-0 ligand1178-0 ligand3723-0
ZASFEG,Hg,ligand10788-0 ligand10788-0 ligand14787-0
AFUZOR,Mn,ligand1-0 ligand4-0 ligand4-0 ligand4-0 ligand3599-0
YEVFUA,Pd,ligand210-0 ligand19914-0
YEBWOR,Rh,ligand3-0 ligand38-0 ligand48-0 ligand4271-0
MIJVAC,Mn,ligand4-0 ligand4-0 ligand4-0 ligand51-0 ligand22983-0
WIRWIG,W,ligand1-0 ligand1-0 ligand185-0 ligand338-0 ligand9753-0
BUWHEH,Cu,ligand28915-0
REZHUZ,Rh,ligand1-0 ligand1-0 ligand49-0 ligand13008-0
BOFDOR,Cu,ligand40-0 ligand6921-0
VUJKOC,Zn,ligand1-0 ligand1-0 ligand19955-0
MAXYOA,Ir,ligand9627-0 ligand9627-0 ligand9627-0
VOXBEP,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand2599-0
KOQCIC,Mn,ligand16-0 ligand6230-0
HEWLEB,Ru,ligand1-0 ligand2941-0 ligand10227-0
DAHWAL,Ir,ligand1-0 ligand1-0 ligand460-0 ligand1703-0
VIFMAZ,Ti,ligand1-0 ligand1-0 ligand6510-0
CAZIPD,Pd,ligand1-0 ligand1-0 ligand11276-0 ligand11276-0
POWXUU,Rh,ligand1-0 ligand1-0 ligand2961-0 ligand2961-0
WAGFOC,Ag,ligand797-0 ligand9913-0
VERBIF,Pd,ligand196-0 ligand2480-0 ligand3108-0
UDOHUS,Mo,ligand4-0 ligand45-0 ligand24704-0
PURNUM,Pt,ligand18-0 ligand18-0 ligand2794-0 ligand22881-0
UFONEJ,Zn,ligand188-0 ligand188-0 ligand279-0 ligand279-0
LUGJAY,Pd,ligand188-0 ligand188-0 ligand14975-0 ligand14975-0
NIBROG,Ni,ligand13406-0
VEHXAI,Ni,ligand447-0 ligand17386-0
HEXDUK,Ru,ligand1-0 ligand45-0 ligand51-0 ligand497-0
TIRWAT,Ni,ligand1-0 ligand1-0 ligand5880-0
LEXSAI,Ti,ligand259-0 ligand25947-0
PIXWIC,Cr,ligand4-0 ligand4-0 ligand4-0 ligand15221-0
HOKGAP,Zn,ligand115-0 ligand14654-0
GAKRIV,Pt,ligand830-0 ligand12650-0 ligand12650-0
PIBSIC,Ru,ligand1-0 ligand1-0 ligand7690-0
ANOXOR,Ir,ligand193-0 ligand3243-0
PUPDAF,W,ligand1-0 ligand1-0 ligand148-0 ligand188-0 ligand6455-0
JEYREL,Re,ligand24-0 ligand18231-0
INUDAW,Pt,ligand1-0 ligand1-0 ligand7329-0
LISLUX,Au,ligand1-0 ligand6558-0
FOHXIL,Co,ligand361-0 ligand10240-0
AGOBEE,Au,ligand1-0 ligand13353-0
DORGUM,Zn,ligand34-0 ligand1120-0
OWESUF,Pt,ligand21040-0
HIRTUX,Hg,ligand40-0 ligand40-0 ligand30165-0
MIYRAO,Re,ligand1-0 ligand16-0 ligand2616-0 ligand2616-0 ligand16336-0
ZOFYEA,Re,ligand4-0 ligand4-0 ligand4-0 ligand49-0 ligand26484-0
AQONOK,Ru,ligand1-0 ligand1-0 ligand4-0 ligand4-0 ligand6090-0
JAZSEI,Mo,ligand24-0 ligand24-0 ligand5415-0
UWOPAY,Re,ligand3-0 ligand4-0 ligand4-0 ligand4-0 ligand7375-0
DOTXER,Re,ligand1-0 ligand24-0 ligand20784-0 ligand20784-0
HEXFOG,Ru,ligand45-0 ligand51-0 ligand89-0 ligand497-0
AZOYET,Pd,ligand1-0 ligand1-0 ligand16661-0
ZOLLAP,Ni,ligand1-0 ligand11979-0
MACYIZ,Fe,ligand4-0 ligand45-0 ligand49-0 ligand51-0
GENBUW,Mn,ligand4-0 ligand4-0 ligand4-0 ligand1643-0
LAYXUG,Ni,ligand12880-0 ligand12880-0
RAHKUG,Ir,ligand1327-0 ligand21572-0
RACQET,W,ligand1-0 ligand4-0 ligand4-0 ligand188-0 ligand188-0 ligand15665-0
NASCUI,Re,ligand4-0 ligand4-0 ligand4-0 ligand1711-0
ASOCOC,Zn,ligand11-0 ligand11-0
AFELOM,Fe,ligand4-0 ligand4-0 ligand45-0 ligand16576-0
VOXRAD,Mo,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand2042-0
COPQON,Ni,ligand16171-0 ligand16172-0
ZIPKIU,Y,ligand326-0 ligand3857-0 ligand16357-0
TOKHAC,Rh,ligand4-0 ligand51-0 ligand275-0
HESGIY,V,ligand24-0 ligand294-0 ligand2655-0 ligand2655-0
GIQBUF,Pd,ligand1-0 ligand1-0 ligand27417-0 ligand27417-0
XEDJEV,Cr,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand29439-0
KUSGUB,V,ligand24-0 ligand19570-0 ligand19571-0
MODXEL,Fe,ligand1104-0 ligand6541-0
XOJQAO,Ti,ligand1-0 ligand1-0 ligand18926-0 ligand19309-0
BOKQIB,Re,ligand24-0 ligand62-0 ligand62-0 ligand2343-0 ligand19421-0
LORDOM,Pd,ligand3-0 ligand3-0 ligand8667-0 ligand8667-0
FELSUN,Au,ligand51-0 ligand29223-0
FIPVUV,Zn,ligand3-0 ligand3-0 ligand1309-0 ligand1309-0
ZUNDIN,Ni,ligand1-0 ligand1-0 ligand27043-0
KICDAC,Rh,ligand40-0 ligand193-0 ligand24286-0
PAJDUB,Au,ligand1-0 ligand23605-0
VOTJIZ,V,ligand24-0 ligand24-0 ligand8504-0
JIGMUK,Ru,ligand13-0 ligand22100-0
APZBFE,Fe,ligand4-0 ligand4-0 ligand409-0 ligand436-0
BIFMOV,Pd,ligand18-0 ligand1038-0 ligand11729-0
WIHJEF,Co,ligand3-0 ligand3-0 ligand14190-0
QOLMIO,Zn,ligand34-0 ligand34-0 ligand30391-0 ligand30391-0
FUDPAW,Pd,ligand1-0 ligand1-0 ligand12812-0
KUWBUB,Ir,ligand422-0 ligand5162-0 ligand5162-0
OSOPOC,Ir,ligand1-0 ligand48-0 ligand2155-0
AVOBIY,Pd,ligand532-0 ligand25468-0
EFUXAF,Pd,ligand1-0 ligand162-0 ligand1607-0
VUHCAD,Pd,ligand1-0 ligand1-0 ligand11992-0 ligand11992-0
COCWUN,Pd,ligand1-0 ligand1-0 ligand18659-0
CEMNIS,Re,ligand4-0 ligand4-0 ligand4-0 ligand49-0 ligand425-0
LESNUT,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand11994-0
DENWEZ,Ni,ligand73-0 ligand2526-0 ligand2526-0
AQUZIW,Ni,ligand115-0 ligand115-0 ligand4910-0
VAWRUG,Ti,ligand1-0 ligand1-0 ligand1-0 ligand19596-0
KIWLUY,Ru,ligand1-0 ligand1-0 ligand4-0 ligand4-0 ligand8821-0
EKUHEY,Rh,ligand1-0 ligand1-0 ligand15962-0
DUNGUQ,Pt,ligand18-0 ligand18-0 ligand55-0 ligand596-0 ligand5762-0
QOZVEH,Au,ligand466-0 ligand3310-0
PAYKEH,Ni,ligand14278-0
OLOQOW,Rh,ligand1-0 ligand48-0 ligand31455-0
TAWPEP,Au,ligand1-0 ligand1-0 ligand1-0 ligand8836-0
ETAZEE,Co,ligand422-0 ligand422-0 ligand3717-0
ZAPCEY,Zr,ligand45-0 ligand45-0 ligand27665-0
ILIBUC,Rh,ligand4-0 ligand1152-0 ligand18377-0
MUHRUD,Hg,ligand311-0 ligand25828-0 ligand25828-0
MOHWOW,Co,ligand38-0 ligand38-0 ligand45-0
NUHLUX,Ni,ligand3-0 ligand3-0 ligand21498-0
MORDOM,Ni,ligand38-0 ligand23763-0
UGOKAC,Zn,ligand278-0 ligand311-0 ligand311-0
TUWSUZ,Mo,ligand45-0 ligand45-0 ligand134-0
YEJSIR,Ni,ligand3-0 ligand3-0 ligand201-0
MEJDEL,W,ligand24-0 ligand24-0 ligand1147-0 ligand1147-0
OBISAT,Cd,ligand115-0 ligand115-0 ligand1544-0 ligand1544-0
RUYDIY,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4626-0
XEYWII,Zn,ligand1-0 ligand1-0 ligand26789-0 ligand26789-0
BEXWAD,Rh,ligand1-0 ligand5393-0 ligand5394-0
SOSHEO,Zn,ligand199-0 ligand199-0 ligand731-0
NIFWOP,Re,ligand4-0 ligand4-0 ligand4-0 ligand15927-0
XIMVOF,Pd,ligand40-0 ligand832-0
HESBUD,Ru,ligand1-0 ligand1-0 ligand115-0 ligand133-0 ligand133-0
TIFTEH,Zn,ligand40-0 ligand40-0 ligand27151-0 ligand27151-0
FASPIB,Pd,ligand40-0 ligand40-0 ligand188-0 ligand25282-0
AGUZUY,Ti,ligand1-0 ligand1-0 ligand317-0 ligand317-0
HUPNIP,Nb,ligand1-0 ligand1-0 ligand465-0 ligand1316-0
PUHJUZ,Fe,ligand4853-0 ligand4853-0
MIGCEL,Zn,ligand34-0 ligand34-0 ligand34-0 ligand3870-0
IWUBOT,Pt,ligand927-0 ligand12846-0
SILCEV,Ni,ligand1107-0 ligand1727-0
ZEKKUY,Pt,ligand18-0 ligand18-0 ligand1858-0 ligand6623-0
FUGREG,Nb,ligand18-0 ligand18-0 ligand122-0 ligand2923-0
JINMUP,Sc,ligand894-0 ligand894-0 ligand1258-0
WUBVEU,Ti,ligand1-0 ligand9530-0
TAGHIT,Pt,ligand1-0 ligand522-0 ligand1727-0 ligand1727-0
ZESKOA,Ni,ligand10910-0 ligand14392-0
TOWFIU,Nb,ligand1-0 ligand1-0 ligand60-0 ligand409-0
REWHIK,Ir,ligand193-0 ligand4477-0
IYUDEM,Pt,ligand1-0 ligand1-0 ligand1-0 ligand1-0 ligand16235-0
RIVWAU,Ru,ligand134-0 ligand662-0
POBCEQ,Fe,ligand3445-0 ligand3446-0
XETWUO,Zn,ligand1-0 ligand1-0 ligand30507-0
SELHOG,Ru,ligand4-0 ligand45-0 ligand51-0 ligand31469-0
LIRZOD,Pt,ligand497-0 ligand497-0 ligand6521-0 ligand6521-0
NAMGIT,Fe,ligand17-0 ligand49-0 ligand1446-0
KOGFOC,Au,ligand1-0 ligand25417-0
VICPUU,Pd,ligand24830-0 ligand24830-0
COSXUD,Pd,ligand17758-0
QARDAQ,Ag,ligand51-0 ligand26509-0
WAVJOT,Ni,ligand352-0 ligand1790-0
KAGYEX,Co,ligand188-0 ligand359-0 ligand359-0 ligand28870-0
CEJNEN,Ru,ligand1-0 ligand89-0 ligand413-0
CIJROE,Pd,ligand1-0 ligand1-0 ligand31421-0 ligand31421-0
BAQJAF,Pd,ligand1-0 ligand1-0 ligand27519-0
CEBFUN,Ni,ligand49-0 ligand3041-0
NENFER,Cu,ligand4274-0 ligand4274-0 ligand4274-0 ligand17454-0
EJUTAE,Ir,ligand1-0 ligand48-0 ligand275-0
FEHMOW,Pd,ligand391-0 ligand14392-0 ligand14392-0
KIDFUZ,Ru,ligand1-0 ligand4-0 ligand4-0 ligand4-0 ligand861-0
ELOBUD,Pd,ligand1-0 ligand2191-0 ligand2192-0
ARAZUO,Pd,ligand1-0 ligand1-0 ligand384-0
EYIWEP,Pd,ligand1-0 ligand1-0 ligand2710-0 ligand2710-0
KOCCAH,Ru,ligand1-0 ligand1-0 ligand2903-0 ligand2903-0
MEZBOL,Ru,ligand1-0 ligand1-0 ligand4-0 ligand4-0 ligand497-0 ligand497-0
ZEVVUR,Cr,ligand1-0 ligand1-0 ligand122-0 ligand122-0
CUTDAW,Pd,ligand34-0 ligand34-0 ligand105-0 ligand1152-0
MEDDIJ,Ni,ligand240-0 ligand30400-0
UPAKIH,Ni,ligand45-0 ligand20162-0
SIRLEN,Mn,ligand4-0 ligand4-0 ligand4-0 ligand1236-0
JACBOH,Pd,ligand26412-0 ligand26412-0
WIKXIA,Pd,ligand1-0 ligand3381-0
DAKROY,Rh,ligand4-0 ligand2565-0
LIYROD,Cu,ligand105-0 ligand1349-0
FIPZOU,Ti,ligand18-0 ligand18-0 ligand45-0 ligand10983-0
MORJOU,Pd,ligand1-0 ligand18-0 ligand1777-0
YOSPOM,Ir,ligand49-0 ligand49-0 ligand49-0 ligand358-0 ligand2262-0
ACEMEC,Pt,ligand1-0 ligand1-0 ligand2583-0
FABBAM,Pt,ligand141-0 ligand141-0 ligand1307-0 ligand1307-0
AROHIZ,Ti,ligand55-0 ligand55-0 ligand7404-0 ligand7404-0
ZOKNUI,Mo,ligand4-0 ligand4-0 ligand4-0 ligand9323-0
CPIMRH,Rh,ligand4-0 ligand4-0 ligand13584-0
MEMVUV,Zn,ligand1-0 ligand16214-0
DITVOS,Co,ligand15010-0 ligand15011-0
